tweet,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutral,tiempo_fuzzy,defuzzificación,sentimiento_defuzz,tiempo_defuzzificar,tiempo_total
looks like summize has gone down too many tweets from wwdc perhaps,Negativo,0.2,0.0,0.815,7.000009645707905e-06,4.98,Neutral,5.529999907594174e-05,6.230000872164965e-05
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,Positivo,0.7,0.0,0.342,6.999995093792677e-06,7.6,Positivo,5.1099996198900044e-05,5.809999129269272e-05
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,Negativo,0.2,0.1,0.686,7.50001345295459e-06,4.88,Neutral,5.360000068321824e-05,6.110001413617283e-05
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,Positivo,0.3,0.0,0.699,7.499998901039362e-06,5.26,Neutral,5.200000305194408e-05,5.950000195298344e-05
the kindle seems the best ereader but will it work in the uk and where can i get one,Positivo,0.1,0.0,0.867,6.89999433234334e-06,4.91,Neutral,5.6199991377070546e-05,6.309998570941389e-05
i have a google addiction thank you for pointing that out hahaha,Positivo,0.4,0.0,0.567,6.900008884258568e-06,5.87,Neutral,6.340000254567713e-05,7.03000114299357e-05
dearest you rich bastards the visa card you sent me does not work why screw a little guy like me,Negativo,0.4,0.1,0.488,1.2299991794861853e-05,5.67,Neutral,5.4100004490464926e-05,6.639999628532678e-05
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,Positivo,0.3,0.0,0.698,7.299997378140688e-06,5.26,Neutral,5.2499992307275534e-05,5.979998968541622e-05
gonna go see bobby flay moro at shoreline eat and drink gonna be good,Positivo,0.2,0.0,0.818,7.299997378140688e-06,4.98,Neutral,5.220000457484275e-05,5.950000195298344e-05
cannot wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,Positivo,0.4,0.0,0.58,7.099995855242014e-06,5.87,Neutral,6.16999896010384e-05,6.879998545628041e-05
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,Positivo,0.1,0.1,0.802,7.599999662488699e-06,4.81,Neutral,5.840000812895596e-05,6.600000779144466e-05
fighting with latex again,Negativo,0.0,0.5,0.545,7.400012691505253e-06,1.67,Negativo,7.03999976394698e-05,7.780001033097506e-05
we love you too and do not want you to die latex the devil,Negativo,0.2,0.4,0.422,7.599999662488699e-06,3.99,Neutral,5.6900011259131134e-05,6.450001092161983e-05
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i cannot take any more,Negativo,0.1,0.1,0.848,7.599999662488699e-06,4.81,Neutral,5.640000745188445e-05,6.400000711437315e-05
shit s hitting the fan in iran craziness indeed iranelection,Negativo,0.2,0.4,0.414,7.499998901039362e-06,3.99,Neutral,5.2100003813393414e-05,5.9600002714432776e-05
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,Negativo,0.4,0.1,0.469,7.599999662488699e-06,5.67,Neutral,6.0000005760230124e-05,6.760000542271882e-05
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,Positivo,0.4,0.0,0.642,7.200011168606579e-06,5.87,Neutral,5.7199998991563916e-05,6.44000101601705e-05
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,Positivo,0.4,0.0,0.621,7.099995855242014e-06,5.87,Neutral,5.4799995268695056e-05,6.189999112393707e-05
i just created my first latex file from scratch that did not work out very well see it is a great time waster,Negativo,0.3,0.0,0.679,7.199996616691351e-06,5.26,Neutral,5.229999078437686e-05,5.949998740106821e-05
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,Positivo,0.3,0.0,0.693,7.300011930055916e-06,5.26,Neutral,5.2400006097741425e-05,5.970001802779734e-05
after using latex a lot any other typeset mathematics just looks hideous,Positivo,0.0,0.0,1.0,6.799993570894003e-06,4.91,Neutral,6.079999729990959e-05,6.75999908708036e-05
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,Negativo,0.0,0.5,0.48,7.399998139590025e-06,1.67,Negativo,4.980000085197389e-05,5.7199998991563916e-05
ahhh back in a real text editing environment i lt latex,Positivo,0.0,0.0,1.0,7.199996616691351e-06,4.91,Neutral,5.830000736750662e-05,6.550000398419797e-05
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,Negativo,0.0,0.2,0.787,7.299997378140688e-06,4.52,Neutral,5.190000229049474e-05,5.919999966863543e-05
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,Negativo,0.0,0.4,0.647,7.199996616691351e-06,3.09,Negativo,6.189999112393707e-05,6.909998774062842e-05
